source,id,location,usgs_site_id,alternate_site_id,latitude,longitude,horizontal_datum,elevation,elevation_units,well_depth,well_depth_units,parameter_name,parameter_units,nrecords,min,max,mean,most_recent_date,most_recent_time,most_recent_value,most_recent_units
WQP,USEPA-325658105420901,16S.12E.03.233 9,,,32.949444,-105.7025,WGS84,8418.0,ft,400.0,ft,nitrate,mg/L,2,5.09,5.1,5.1,2021-04-01,,5.1,mg/L
WQP,USEPA-325700105421101,16S.12E.03.231 4,,,32.95,-105.703056,WGS84,8363.0,ft,500.0,ft,nitrate,mg/L,2,5.12,5.14,5.13,2021-03-30,,5.12,mg/L
WQP,USEPA-325703105421801,16S.12E.03.142 6,,,32.950833,-105.705,WGS84,8328.0,ft,380.0,ft,nitrate,mg/L,2,6.51,6.51,6.51,2021-03-30,,6.51,mg/L
WQP,USEPA-325704105560701,16S.10E.05.242 2,,,32.951111,-105.935278,WGS84,4713.0,ft,990.0,ft,nitrate,mg/L,2,2.57,2.57,2.57,2021-01-27,,2.57,mg/L
WQP,USEPA-325704105561801,16S.10E.05.241 3,,,32.951111,-105.938333,WGS84,4680.0,ft,880.0,ft,nitrate,mg/L,2,1.64,1.64,1.64,2021-02-09,,1.64,mg/L
WQP,USEPA-325717105560601,16S.10E.05.224 4,,,32.955167,-105.936611,WGS84,4725.0,ft,780.0,ft,nitrate,mg/L,2,3.76,3.76,3.76,2021-01-27,,3.76,mg/L
WQP,USEPA-325735105393701,16S.13E.06.111 1,,,32.959722,-105.660278,WGS84,7878.0,ft,567.0,ft,nitrate,mg/L,2,2.2,2.2,2.2,2021-01-27,,2.2,mg/L
WQP,USEPA-325825105541201,15S.11E.31.222 IG2,,,32.973611,-105.903333,WGS84,5077.0,ft,,ft,nitrate,mg/L,2,2.22,2.22,2.22,2021-04-30,,2.22,mg/L
WQP,USEPA-325839105590101,15S.10E.28.431 1,,,32.9775,-105.983611,WGS84,4497.0,ft,275.0,ft,nitrate,mg/L,2,10.2,10.23,10.21,2021-01-27,,10.2,mg/L
WQP,USEPA-325847105554801,15S.10E.25.413 3,,,32.979722,-105.93,WGS84,4834.0,ft,900.0,ft,nitrate,mg/L,2,2.75,2.76,2.76,2020-12-29,,2.76,mg/L
WQP,USEPA-325852105560301,15S.10E.25.321 2,,,32.981111,-105.934167,WGS84,4809.0,ft,640.0,ft,nitrate,mg/L,2,2.52,2.52,2.52,2020-12-30,,2.52,mg/L
WQP,USEPA-331843104305001,11S.24E.33.322 1,,,33.311944,-104.513889,WGS84,3629.0,ft,590.0,ft,nitrate,mg/L,2,11.9,11.91,11.9,2020-10-28,,11.9,mg/L
WQP,USEPA-331843104315001,11S.24E.32.411 4,,,33.311944,-104.530556,WGS84,3651.0,ft,346.0,ft,nitrate,mg/L,2,13.7,13.77,13.73,2020-10-28,,13.7,mg/L
WQP,USEPA-335036103185601,NM3528222 DORA WATER ASSOC WELL  1,,,33.843333,-103.315556,WGS84,,ft,,ft,nitrate,mg/L,2,10.45,10.5,10.47,2023-08-15,,10.5,mg/L
WQP,USEPA-335247103080201,05S.36E.11.433 1,,,33.879722,-103.133889,WGS84,4083.0,ft,189.0,ft,nitrate,mg/L,2,12.0,12.04,12.02,2020-09-08,,12.0,mg/L
WQP,USEPA-341230103083601,01S.36E.23.331,,,34.208333,-103.143333,WGS84,,ft,208.0,ft,nitrate,mg/L,2,6.15,6.16,6.16,2021-05-11,,6.16,mg/L
WQP,USEPA-341321103193401,01S.34E.13.234,,,34.2225,-103.326111,WGS84,,ft,120.0,ft,nitrate,mg/L,2,15.3,15.32,15.31,2021-05-11,,15.3,mg/L
WQP,USEPA-341333103193501,01S.34E.13.231 5,,,34.225833,-103.326389,WGS84,4075.0,ft,120.0,ft,nitrate,mg/L,2,13.8,13.81,13.81,2020-11-17,,13.8,mg/L
WQP,USEPA-341333103195001,01S.34E.13.114 3,,,34.225833,-103.330556,WGS84,4089.0,ft,120.0,ft,nitrate,mg/L,4,15.49,15.76,15.61,2021-05-11,,15.5,mg/L
WQP,USEPA-341347103184201,01S.35E.18.121 7,,,34.229722,-103.311667,WGS84,4074.0,ft,115.0,ft,nitrate,mg/L,2,17.58,17.6,17.59,2020-12-15,,17.6,mg/L
WQP,USEPA-342326103024501,02N.37E.15.443,,,34.390556,-103.045833,WGS84,4144.0,ft,392.0,ft,nitrate,mg/L,4,33.0,37.2,35.09,2021-06-02,,33.0,mg/L
WQP,USEPA-342444103182201,02N.35E.07.421 1,,,34.412222,-103.306111,WGS84,4335.0,ft,400.0,ft,nitrate,mg/L,2,36.7,36.7,36.7,2021-01-12,,36.7,mg/L
WQP,USEPA-342446103380101,02N.32E.07.311 4,,,34.412778,-103.633611,WGS84,4328.0,ft,120.0,ft,nitrate,mg/L,2,16.6,16.6,16.6,2021-01-14,,16.6,mg/L
WQP,USEPA-342450103380101,02N.32E.07.133 3,,,34.413889,-103.633611,WGS84,4330.0,ft,110.0,ft,nitrate,mg/L,2,18.59,18.6,18.6,2021-01-14,,18.6,mg/L
WQP,USEPA-342525103390901,2N.31E.02.442 1,,,34.423611,-103.6525,WGS84,4358.0,ft,110.0,ft,nitrate,mg/L,2,21.6,21.6,21.6,2020-12-15,,21.6,mg/L
WQP,USEPA-342610103185401,03N.35E.31.341 2,,,34.436111,-103.315,WGS84,4373.0,ft,400.0,ft,nitrate,mg/L,2,9.86,9.87,9.87,2021-05-12,,9.86,mg/L
WQP,USEPA-344916103185801,07N.34E.23.112 2,,,34.821111,-103.316111,WGS84,4601.0,ft,230.0,ft,nitrate,mg/L,2,14.79,14.8,14.79,2021-01-13,,14.8,mg/L
WQP,USEPA-344916103190001,07N.34E.23.112 1,,,34.821111,-103.316667,WGS84,4601.0,ft,230.0,ft,nitrate,mg/L,4,21.8,23.73,22.76,2021-01-13,,21.8,mg/L
WQP,USEPA-351455107583401,12N.11W.23.333B,,,35.2485,-107.976639,WGS84,6628.0,ft,345.0,ft,nitrate,mg/L,2,17.97,18.0,17.99,2017-07-25,,18.0,mg/L
