source,id,location,usgs_site_id,alternate_site_id,latitude,longitude,horizontal_datum,elevation,elevation_units,well_depth,well_depth_units,parameter_name,parameter_units,nrecords,min,max,mean,most_recent_date,most_recent_time,most_recent_value,most_recent_units
WQP,USGS-353012106033301,15N.08E.27.2142 LITTLE PEACH TREE,,,35.503369,-106.059744,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,8/22/1986,,0.004,mg/L
WQP,USGS-353016108100401,15N.13W.25.1423,,,35.504469,-108.168401,WGS84,7488,ft,3102,ft,arsenic,mg/L,1,0,0,0,2/24/1982,,0.001,mg/L
WQP,USGS-353024106100201,15N.07E.26.21312,,,35.506702,-106.1678,WGS84,6079,ft,,ft,arsenic,mg/L,1,0,0,0,8/6/1986,,0,mg/L
WQP,USGS-353108106042001,15N.08E.22.24221,,,35.518924,-106.0728,WGS84,6215,ft,96,ft,arsenic,mg/L,1,0,0,0,8/22/1986,,0.004,mg/L
WQP,USGS-353118105550901,15N.10E.19.122,,,35.521917,-105.919361,WGS84,6760,ft,268,ft,arsenic,mg/L,1,0,0,0,6/12/2014,,0.0017,mg/L
WQP,USGS-353125108124001,15N.13W.22.1111,,,35.523119,-108.2126,WGS84,7525,ft,1275,ft,arsenic,mg/L,1,0.01,0.01,0.01,3/20/1974,,0.012,mg/L
WQP,USGS-353158106105601,15N.07E.15.232431 LA BAJADA,,,35.53059,-106.182801,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,7/31/1986,,0,mg/L
WQP,USGS-353205105571001,CANADA DE LOS ALAMOS GRANT,,,35.534757,-105.953354,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,8/14/1986,,0.002,mg/L
WQP,USGS-353206108080102,15N.12W.17.123A,,,35.535024,-108.134233,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,5/4/1963,,0,mg/L
WQP,USGS-353222106071001,LOS CERRILLOS GRANT,,,35.539479,-106.120022,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,8/22/1986,,0.004,mg/L
WQP,USGS-353226106404501,15N.02E.12.432,,,35.540586,-106.679755,WGS84,5770,ft,503,ft,arsenic,mg/L,1,0,0,0,4/4/1974,,0.004,mg/L
WQP,USGS-353229106081001,15N.08E.07.32334,,,35.540312,-106.136411,WGS84,5960,ft,272,ft,arsenic,mg/L,1,0.01,0.01,0.01,3/25/1985,,0.005,mg/L
WQP,USGS-353243106084101,15N.7E.11 MESITA DE JUAN LOPEZ GRANT,,,35.545312,-106.1453,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,8/13/1986,,0.004,mg/L
WQP,USGS-353251106073101,SITIO DE LOS CERRILLOS GRANT,,,35.547534,-106.125856,WGS84,6035,ft,,ft,arsenic,mg/L,1,0,0,0,8/6/1986,,0,mg/L
WQP,USGS-353255106023001,15N.08E.12.2143 EAST PENITENTIARY WINDMILL,,,35.548645,-106.042244,WGS84,6281,ft,,ft,arsenic,mg/L,1,0,0,0,8/1/1986,,0,mg/L
WQP,USGS-353257105492801,15N.10E.12.222,,,35.549202,-105.825018,WGS84,6960,ft,62,ft,arsenic,mg/L,1,0,0,0,9/12/1979,,0.001,mg/L
WQP,USGS-353258108171601,15N.14W.11.2143 GULF MARIANO LAKE MINE SUPPLY WL,,,35.549467,-108.288404,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,2/28/1982,,0.004,mg/L
WQP,USGS-353306105542001,15N.10E.05.3434,,,35.551701,-105.906131,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,3/21/1974,,0.002,mg/L
WQP,USGS-353315105564901,15N.09E.02.442,,,35.554361,-105.947111,WGS84,6663,ft,250,ft,arsenic,mg/L,1,0,0,0,6/11/2014,,0.0031,mg/L
WQP,USGS-353329106204001,15N.06E.06.411,,,35.558088,-106.345026,WGS84,5225,ft,138,ft,arsenic,mg/L,1,0,0,0,3/7/1995,,0.004,mg/L
WQP,USGS-353352105443701,15N.11E.02.211,,,35.56448,-105.744184,WGS84,7200,ft,,ft,arsenic,mg/L,1,0,0,0,3/21/1974,,0.002,mg/L
