OID@,OBJECTID,Shape,UniqueID,Easting,Northing,Units,Datum,DataSourceID,DataQualityBottom,UnitsPresent,MUEBase,SimpleUnit
27,27,"(437062.1935999999, 3691669.1862000003)",RuidosoCSA-1928,437062.1935999999,3691669.1862000003,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,3454.0,UCretaceous
28,28,"(435784.5921, 3693046.319)",RuidosoCSA-50,435784.5921,3693046.319,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,3392.0,UCretaceous
29,29,"(437549.89269999973, 3691143.4930000007)",RuidosoCSA-2645,437549.89269999973,3691143.4930000007,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,3618.0,UCretaceous
30,30,"(439250.1880000001, 3689310.7366000004)",RuidosoCSA-5145,439250.1880000001,3689310.7366000004,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,7224.0,UCretaceous
31,31,"(438400.0404000003, 3690227.1148000006)",RuidosoCSA-3895,438400.0404000003,3690227.1148000006,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,6135.0,UCretaceous
32,32,"(438127.9930999996, 3690520.355799999)",RuidosoCSA-3495,438127.9930999996,3690520.355799999,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,4258.0,UCretaceous
33,33,"(430265.6321999999, 3688932.2102000006)",RuidosoCSB-136,430265.6321999999,3688932.2102000006,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,4793.0,UCretaceous
34,34,"(431255.46740000043, 3688208.3714000005)",RuidosoCSB-1363,431255.46740000043,3688208.3714000005,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,5597.0,UCretaceous
35,35,"(437016.43759999983, 3683995.5351)",RuidosoCSB-8500,437016.43759999983,3683995.5351,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,7424.0,UCretaceous
36,36,"(435528.79569999967, 3685083.4059999995)",RuidosoCSB-6657,435528.79569999967,3685083.4059999995,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,4960.0,UCretaceous
37,37,"(431938.53830000013, 3687708.8608)",RuidosoCSB-2209,431938.53830000013,3687708.8608,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,6072.0,UCretaceous
38,38,"(434860.2604, 3685572.2871000003)",RuidosoCSB-5828,434860.2604,3685572.2871000003,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,4481.0,UCretaceous
39,39,"(436013.1144000003, 3684729.237299999)",RuidosoCSB-7257,436013.1144000003,3684729.237299999,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,6538.0,UCretaceous
40,40,"(436672.07380000036, 3683939.492900001)",RuidosoCSC-7660,436672.07380000036,3683939.492900001,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,7309.0,UCretaceous
41,41,"(431852.21439999994, 3681020.8341000006)",RuidosoCSC-2000,431852.21439999994,3681020.8341000006,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,7490.0,UCretaceous
42,42,"(432292.53440000024, 3681257.727)",RuidosoCSC-2500,432292.53440000024,3681257.727,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,6318.0,UCretaceous
43,43,"(430134.966, 3680096.9518)",RuidosoCSC-50,430134.966,3680096.9518,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,,UCretaceous
44,44,"(442460.09389999975, 3702171.6867999993)",FortStantonCSA-4728,442460.09389999975,3702171.6867999993,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,4927.0,UCretaceous
45,45,"(442388.6238000002, 3700904.6083000004)",FortStantonCSA-6000,442388.6238000002,3700904.6083000004,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,5223.0,UCretaceous
46,46,"(442180.8579000002, 3699487.7606000006)",FortStantonCSA-7432,442180.8579000002,3699487.7606000006,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,5357.0,UCretaceous
47,47,"(446455.58189999964, 3741089.2733999994)",UCretaceous_ContactPts_51,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6453.0,UCretaceous
48,48,"(447035.2775999997, 3736878.496200001)",UCretaceous_ContactPts_52,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6437.0,UCretaceous
49,49,"(449394.1950000003, 3728242.844900001)",UCretaceous_ContactPts_53,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,,UCretaceous
50,50,"(448731.68730000034, 3726145.3050999995)",UCretaceous_ContactPts_54,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,,UCretaceous
51,51,"(444659.38019999955, 3724918.9372000005)",UCretaceous_ContactPts_55,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6737.0,UCretaceous
52,52,"(445362.09970000014, 3721766.641899999)",UCretaceous_ContactPts_56,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,,UCretaceous
53,53,"(451383.9073000001, 3718231.181500001)",UCretaceous_ContactPts_57,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6687.0,UCretaceous
54,54,"(450848.92370000016, 3718455.5681999996)",UCretaceous_ContactPts_58,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6693.0,UCretaceous
55,55,"(450497.85250000004, 3716428.6919)",UCretaceous_ContactPts_59,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6699.0,UCretaceous
56,56,"(448609.38850000035, 3716557.4353)",UCretaceous_ContactPts_60,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6626.0,UCretaceous
57,57,"(449560.9034000002, 3717853.9606)",UCretaceous_ContactPts_61,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6537.0,UCretaceous
58,58,"(443730.45999999996, 3719529.0952000003)",UCretaceous_ContactPts_62,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6895.0,UCretaceous
59,59,"(451022.51999999955, 3712685.691299999)",UCretaceous_ContactPts_63,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,,UCretaceous
60,60,"(449279.8953999998, 3715270.1667)",UCretaceous_ContactPts_64,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6552.0,UCretaceous
61,61,"(451613.8559999997, 3716221.4518)",UCretaceous_ContactPts_65,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6455.0,UCretaceous
62,62,"(450124.99459999986, 3710827.5912999995)",UCretaceous_ContactPts_66,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6409.0,UCretaceous
63,63,"(448581.2149, 3711899.7852)",UCretaceous_ContactPts_67,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,,UCretaceous
64,64,"(450240.03259999957, 3707828.1840000004)",UCretaceous_ContactPts_68,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6438.0,UCretaceous
65,65,"(448811.91899999976, 3707963.1821999997)",UCretaceous_ContactPts_69,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,,UCretaceous
66,66,"(449378.50320000015, 3702768.2300000004)",UCretaceous_ContactPts_70,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,,UCretaceous
67,67,"(449197.19099999964, 3704343.9757000003)",UCretaceous_ContactPts_71,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6468.0,UCretaceous
68,68,"(447863.3552000001, 3703879.0255999994)",UCretaceous_ContactPts_72,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6511.0,UCretaceous
69,69,"(444542.60259999987, 3698246.7261999995)",UCretaceous_ContactPts_73,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6834.0,UCretaceous
70,70,"(447667.574, 3699972.2158000004)",UCretaceous_ContactPts_74,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6743.0,UCretaceous
71,71,"(444089.78110000025, 3698199.3730999995)",UCretaceous_ContactPts_75,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6979.0,UCretaceous
72,72,"(441723.37459999975, 3695921.3167000003)",UCretaceous_ContactPts_77,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,,UCretaceous
73,73,"(444066.6994000003, 3696715.947899999)",UCretaceous_ContactPts_78,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,7034.0,UCretaceous
74,74,"(439422.43230000045, 3689976.6642000005)",UCretaceous_ContactPts_79,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6897.0,UCretaceous
75,75,"(437655.70409999974, 3687649.9126999993)",UCretaceous_ContactPts_80,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6913.0,UCretaceous
