OID@,OBJECTID,Shape,UniqueID,Easting,Northing,Units,Datum,DataSourceID,DataQualityBottom,UnitsPresent,MUEBase,SimpleUnit
176,176,"(478253.03390000015, 3704198.767000001)",NelsonCanyonWestCSA-1534,478253.03390000015,3704198.767000001,meters,NAD83,Timmons2010_OFGM197,Sampled from interpretive cross-section,Yeso,3461.0,Yeso
177,177,"(480253.4193000002, 3704198.8168)",NelsonCanyonWestCSA-3534,480253.4193000002,3704198.8168,meters,NAD83,Timmons2010_OFGM197,Sampled from interpretive cross-section,Yeso,3025.0,Yeso
178,178,"(441981.6409, 3691858.776900001)",RuidosoDownsCSA-313,441981.6409,3691858.776900001,meters,NAD83,Rawling2004_OFGM94,Sampled from interpretive cross-section,Yeso,,Yeso
179,179,"(444039.06879999954, 3688798.8934000004)",RuidosoDownsCSA-4000,444039.06879999954,3688798.8934000004,meters,NAD83,Rawling2004_OFGM94,Sampled from interpretive cross-section,Yeso,5620.0,Yeso
180,180,"(443343.4956, 3689833.3757000007)",RuidosoDownsCSA-2753,443343.4956,3689833.3757000007,meters,NAD83,Rawling2004_OFGM94,Sampled from interpretive cross-section,Yeso,5548.0,Yeso
181,181,"(445103.9126000004, 3687215.2180000003)",RuidosoDownsCSA-5905,445103.9126000004,3687215.2180000003,meters,NAD83,Rawling2004_OFGM94,Sampled from interpretive cross-section,Yeso,5669.0,Yeso
182,182,"(448108.28359999973, 3682747.0053000003)",RuidosoDownsCSA-11293,448108.28359999973,3682747.0053000003,meters,NAD83,Rawling2004_OFGM94,Sampled from interpretive cross-section,Yeso,6152.0,Yeso
183,183,"(456256.82919999957, 3714916.4557000007)",CapitanPassCSA-3500,456256.82919999957,3714916.4557000007,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,SanAndres,3930.0,SanAndres
184,184,"(456808.7687999997, 3714460.1564000007)",CapitanPassCSA-4216,456808.7687999997,3714460.1564000007,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,SanAndres,4001.0,SanAndres
185,185,"(448055.9648000002, 3704841.3323)",FortStantonCSE-2312,448055.9648000002,3704841.3323,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,SanAndres,3825.0,SanAndres
186,186,"(448645.30140000023, 3703759.0681999996)",FortStantonCSE-3544,448645.30140000023,3703759.0681999996,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,SanAndres,3718.0,SanAndres
187,187,"(447781.8761999998, 3705344.6714999992)",FortStantonCSE-1739,447781.8761999998,3705344.6714999992,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,SanAndres,3915.0,SanAndres
188,188,"(447105.1513, 3706587.4164000005)",FortStantonCSE-324,447105.1513,3706587.4164000005,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,SanAndres,3231.0,SanAndres
189,189,"(442384.93730000034, 3699336.4766000006)",FortStantonCSC-613,442384.93730000034,3699336.4766000006,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,SanAndres,2960.0,SanAndres
190,190,"(443729.24870000035, 3702293.5342999995)",FortStantonCSD-2222,443729.24870000035,3702293.5342999995,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,SanAndres,3043.0,SanAndres
191,191,"(445797.97030000016, 3700924.1500000004)",FortStantonCSD-4703,445797.97030000016,3700924.1500000004,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,SanAndres,3602.0,SanAndres
