OID@,OBJECTID,Shape,UniqueID,Easting,Northing,Units,Datum,DataSourceID,DataQualityBottom,UnitsPresent,MUEBase,SE_NM_30m_int,SimpleUnit
33,33,"(439855.6928000003, 3716739.1194)",NogalCSC-9500,439855.6928000003,3716739.1194,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SierraBlanca,6873.0,6930,SierraBlanca
34,34,"(432764.0307, 3717151.217)",SierraBlanca_ContactPts_111,,,,,Rawling2014_OFR538,24k_surface_map,SierraBlanca,6150.0,6163,SierraBlanca
35,35,"(451383.9073000001, 3718231.181500001)",UCretaceous_ContactPts_57,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9182.0,6687,UCretaceous
36,36,"(450848.92370000016, 3718455.5681999996)",UCretaceous_ContactPts_58,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9176.0,6693,UCretaceous
37,37,"(450497.85250000004, 3716428.6919)",UCretaceous_ContactPts_59,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9235.0,6699,UCretaceous
38,38,"(448609.38850000035, 3716557.4353)",UCretaceous_ContactPts_60,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9164.0,6626,UCretaceous
39,39,"(449560.9034000002, 3717853.9606)",UCretaceous_ContactPts_61,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9026.0,6537,UCretaceous
40,40,"(449279.8953999998, 3715270.1667)",UCretaceous_ContactPts_64,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9129.0,6552,UCretaceous
41,41,"(451613.8559999997, 3716221.4518)",UCretaceous_ContactPts_65,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9001.0,6455,UCretaceous
42,42,"(442414.76719999965, 3716539.3609999996)",CapitanCSC-500,442414.76719999965,3716539.3609999996,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,6891.0,6756,UCretaceous
43,43,"(445422.82660000026, 3715244.2919999994)",CapitanCSC-3775,445422.82660000026,3715244.2919999994,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,8124.0,6676,UCretaceous
44,44,"(443884.3535000002, 3715906.6555000003)",CapitanCSC-2100,443884.3535000002,3715906.6555000003,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,7559.0,6745,UCretaceous
45,45,"(446098.2742999997, 3717747.450099999)",CapitanCSD-4500,446098.2742999997,3717747.450099999,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,8314.0,6675,UCretaceous
46,46,"(449368.70419999957, 3716323.3363000005)",CapitanCSD-8067,449368.70419999957,3716323.3363000005,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,9034.0,6605,UCretaceous
47,47,"(437855.6936999997, 3716741.0603)",NogalCSC-7500,437855.6936999997,3716741.0603,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,7227.0,6920,UCretaceous
48,48,"(434978.9927000003, 3716743.8521)",NogalCSC-4623,434978.9927000003,3716743.8521,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,7069.0,6450,UCretaceous
49,49,"(441905.69180000015, 3716737.129899999)",NogalCSC-11580,441905.69180000015,3716737.129899999,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,7048.0,6831,UCretaceous
50,50,"(436355.6945000002, 3716742.5161000006)",NogalCSC-6000,436355.6945000002,3716742.5161000006,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,7008.0,6660,UCretaceous
51,51,"(472754.8523000004, 3713391.5753000006)",CapitanPeakCSB-6656,472816.0619999999,3714000.9957,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,SierraBlanca,4790.0,7158,SierraBlanca
52,52,"(442507.9243000001, 3712587.707699999)",SierraBlanca_ContactPts_37,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,6654.0,6654,SierraBlanca
53,53,"(481013.61170000024, 3713161.0581)",SierraBlanca_ContactPts_39,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,5926.0,5926,SierraBlanca
54,54,"(474650.42360000033, 3713346.882099999)",SierraBlanca_ContactPts_40,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,6928,SierraBlanca
55,55,"(441870.6891000001, 3713213.4132000003)",NogalCSB-11541,441870.6891000001,3713213.4132000003,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SierraBlanca,6719.0,6734,SierraBlanca
56,56,"(434329.96729999967, 3713204.0755000003)",NogalCSB-4000,434329.96729999967,3713204.0755000003,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SierraBlanca,6224.0,6471,SierraBlanca
57,57,"(430379.97030000016, 3713199.1842)",NogalCSB-50,430379.97030000016,3713199.1842,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SierraBlanca,,7214,SierraBlanca
58,58,"(437930.49959999975, 3713208.534)",NogalCSB-7601,437930.49959999975,3713208.534,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SierraBlanca,6749.0,7035,SierraBlanca
59,59,"(441155.5086000003, 3713212.5275999997)",NogalCSB-10826,441155.5086000003,3713212.5275999997,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SierraBlanca,6722.0,6884,SierraBlanca
60,60,"(442904.5365000004, 3712794.151900001)",CapitanCSB-1045,442904.5365000004,3712794.151900001,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,7057.0,6598,UCretaceous
61,61,"(445933.7396, 3711484.9811000004)",CapitanCSB-4357,445933.7396,3711484.9811000004,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,8175.0,6388,UCretaceous
62,62,"(446655.4146999996, 3711173.0853000004)",CapitanCSB-5143,446655.4146999996,3711173.0853000004,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,8328.0,6357,UCretaceous
63,63,"(444235.5499999998, 3712218.9102)",CapitanCSB-2511,444235.5499999998,3712218.9102,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,8177.0,6648,UCretaceous
64,64,"(448925.9955000002, 3713736.061899999)",CapitanCSC-7589,448925.9955000002,3713736.061899999,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,9258.0,6616,UCretaceous
65,65,"(450647.09949999955, 3712995.0698000006)",CapitanCSC-9463,450647.09949999955,3712995.0698000006,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,9077.0,6611,UCretaceous
66,66,"(447759.44290000014, 3714238.3014)",CapitanCSC-6319,447759.44290000014,3714238.3014,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,8743.0,6569,UCretaceous
67,67,"(449835.86870000046, 3713344.3313999996)",CapitanCSC-8580,449835.86870000046,3713344.3313999996,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,9131.0,6629,UCretaceous
68,68,"(436829.9654000001, 3713207.1712999996)",NogalCSB-6500,436829.9654000001,3713207.1712999996,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,7304.0,7063,UCretaceous
69,69,"(421185.97559999954, 3709470.736300001)",SierraBlanca_ContactPts_41,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,6649,SierraBlanca
70,70,"(437114.22470000014, 3710457.2715000007)",SierraBlanca_ContactPts_42,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,7183,SierraBlanca
71,71,"(435342.35919999983, 3710301.5187)",SierraBlanca_ContactPts_44,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,7082,SierraBlanca
72,72,"(441396.6612, 3707365.4312999994)",SierraBlanca_ContactPts_45,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,6703.0,6703,SierraBlanca
73,73,"(441876.44629999995, 3707224.4398)",SierraBlanca_ContactPts_46,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,6688.0,6688,SierraBlanca
74,74,"(433741.60250000004, 3708144.2508000005)",SierraBlanca_ContactPts_51,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,7347.0,7347,SierraBlanca
75,75,"(441681.1624999996, 3708217.4099000003)",SierraBlanca_ContactPts_52,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,6744,SierraBlanca
76,76,"(442135.3912000004, 3707421.1447)",SierraBlanca_ContactPts_53,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,6708.0,6708,SierraBlanca
77,77,"(441784.10780000035, 3708484.0820000004)",SierraBlanca_ContactPts_58,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,6701.0,6701,SierraBlanca
78,78,"(438963.3200000003, 3709011.5439)",NogalCSA-8664,438963.3200000003,3709011.5439,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SierraBlanca,6624.0,7197,SierraBlanca
79,79,"(432299.5566999996, 3709001.2200000007)",NogalCSA-2000,432299.5566999996,3709001.2200000007,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SierraBlanca,6490.0,7168,SierraBlanca
80,80,"(439538.72530000005, 3709012.4353)",NogalCSA-9239,439538.72530000005,3709012.4353,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SierraBlanca,6657.0,7205,SierraBlanca
81,81,"(430349.55879999977, 3708998.198999999)",NogalCSA-50,430349.55879999977,3708998.198999999,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SierraBlanca,,7750,SierraBlanca
82,82,"(440717.0218000002, 3709014.2608000003)",NogalCSA-10417,440717.0218000002,3709014.2608000003,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SierraBlanca,6709.0,6830,SierraBlanca
83,83,"(450124.99459999986, 3710827.5912999995)",UCretaceous_ContactPts_66,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9144.0,6409,UCretaceous
84,84,"(450240.03259999957, 3707828.1840000004)",UCretaceous_ContactPts_68,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9251.0,6438,UCretaceous
85,85,"(446208.2774, 3707192.9964000005)",CapitanCSA-4670,446208.2774,3707192.9964000005,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,8638.0,6727,UCretaceous
86,86,"(444990.57540000044, 3707709.357999999)",CapitanCSA-3347,444990.57540000044,3707709.357999999,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,8654.0,6712,UCretaceous
87,87,"(443213.72699999996, 3708462.8233000003)",CapitanCSA-1417,443213.72699999996,3708462.8233000003,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,7497.0,6614,UCretaceous
88,88,"(442679.75179999974, 3708689.2533)",CapitanCSA-837,442679.75179999974,3708689.2533,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,7314.0,6680,UCretaceous
89,89,"(448170.59250000026, 3710518.2509000003)",CapitanCSB-6794,448170.59250000026,3710518.2509000003,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,8988.0,6507,UCretaceous
90,90,"(448386.9040999999, 3710424.7645999994)",CapitanCSB-7029,448386.9040999999,3710424.7645999994,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,8986.0,6453,UCretaceous
91,91,"(433899.55480000004, 3709003.6987999994)",NogalCSA-3600,433899.55480000004,3709003.6987999994,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,7814.0,7286,UCretaceous
92,92,"(441828.32459999993, 3709015.9825)",NogalCSA-11529,441828.32459999993,3709015.9825,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,6963.0,6719,UCretaceous
93,93,"(435799.5525000002, 3709006.6424000002)",NogalCSA-5500,435799.5525000002,3709006.6424000002,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,,7117,UCretaceous
94,94,"(438759.67480000015, 3703496.9431)",AngusCSA-8500,438759.67480000015,3703496.9431,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,SierraBlanca,7076.0,7232,SierraBlanca
95,95,"(440533.60030000005, 3703499.3849)",AngusCSA-10273,440533.60030000005,3703499.3849,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,SierraBlanca,,7102,SierraBlanca
96,96,"(441491.1721999999, 3703500.7029)",AngusCSA-11231,441491.1721999999,3703500.7029,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,SierraBlanca,6965.0,7035,SierraBlanca
97,97,"(421242.0033, 3703929.3554999996)",NogalPeakCSA-2596,421242.0033,3703929.3554999996,meters,NAD83,Goff2011_OFGM134,Sampled from interpretive cross-section,SierraBlanca,,8484,SierraBlanca
98,98,"(425360.2263000002, 3706966.8268)",NogalPeakCSC-50,425360.2263000002,3706966.8268,meters,NAD83,Goff2011_OFGM134,Sampled from interpretive cross-section,SierraBlanca,,9558,SierraBlanca
99,99,"(441512.3388, 3706853.4396)",SierraBlanca_ContactPts_47,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,6752,SierraBlanca
100,100,"(439859.79810000025, 3703490.5551999994)",SierraBlanca_ContactPts_61,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,7238.0,7238,SierraBlanca
101,101,"(440076.2001, 3703315.1290000007)",SierraBlanca_ContactPts_62,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,7197.0,7197,SierraBlanca
102,102,"(440425.6629999997, 3703785.0735)",SierraBlanca_ContactPts_63,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,7182,SierraBlanca
103,103,"(440599.7790999999, 3703928.4662999995)",SierraBlanca_ContactPts_64,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,7181.0,7181,SierraBlanca
104,104,"(439942.41559999995, 3703870.1142999995)",SierraBlanca_ContactPts_68,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,7110,SierraBlanca
105,105,"(441542.32830000017, 3704602.8879000004)",SierraBlanca_ContactPts_70,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,7208,SierraBlanca
106,106,"(442308.87519999966, 3703233.7464000005)",FortStantonCSD-519,442308.87519999966,3703233.7464000005,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,8164.0,7132,UCretaceous
107,107,"(448055.9648000002, 3704841.3323)",FortStantonCSE-2312,448055.9648000002,3704841.3323,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,9406.0,6474,UCretaceous
108,108,"(448645.30140000023, 3703759.0681999996)",FortStantonCSE-3544,448645.30140000023,3703759.0681999996,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,9426.0,6731,UCretaceous
109,109,"(447781.8761999998, 3705344.6714999992)",FortStantonCSE-1739,447781.8761999998,3705344.6714999992,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,9442.0,6642,UCretaceous
110,110,"(449197.19099999964, 3704343.9757000003)",UCretaceous_ContactPts_71,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9370.0,6468,UCretaceous
111,111,"(447863.3552000001, 3703879.0255999994)",UCretaceous_ContactPts_72,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9449.0,6511,UCretaceous
112,112,"(446913.6079000002, 3706893.9038999993)",CapitanCSA-5436,446913.6079000002,3706893.9038999993,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,8604.0,6707,UCretaceous
113,113,"(426024.3491000002, 3702453.8225)",NogalPeakCSC-4614,426024.3491000002,3702453.8225,meters,NAD83,Goff2011_OFGM134,Sampled from interpretive cross-section,SierraBlanca,,7907,SierraBlanca
114,114,"(426142.3912000004, 3701696.6457)",NogalPeakCSC-5380,426142.3912000004,3701696.6457,meters,NAD83,Goff2011_OFGM134,Sampled from interpretive cross-section,SierraBlanca,,8468,SierraBlanca
115,115,"(437297.9480999997, 3701164.942399999)",SierraBlanca_ContactPts_59,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,6944,SierraBlanca
116,116,"(438947.70830000006, 3701691.8669000007)",SierraBlanca_ContactPts_60,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,7120.0,7120,SierraBlanca
117,117,"(440614.1524, 3702486.9875000007)",SierraBlanca_ContactPts_66,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,6938.0,6938,SierraBlanca
118,118,"(435834.65610000025, 3701641.4266999997)",SierraBlanca_ContactPts_72,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,7331,SierraBlanca
119,119,"(437161.7006999999, 3701215.4988)",SierraBlanca_ContactPts_73,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,6932.0,6932,SierraBlanca
120,120,"(437845.32629999984, 3700963.318)",SierraBlanca_ContactPts_76,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,6910.0,6910,SierraBlanca
121,121,"(442384.93730000034, 3699336.4766000006)",FortStantonCSC-613,442384.93730000034,3699336.4766000006,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,8731.0,7162,UCretaceous
122,122,"(443729.24870000035, 3702293.5342999995)",FortStantonCSD-2222,443729.24870000035,3702293.5342999995,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,8690.0,6661,UCretaceous
123,123,"(445797.97030000016, 3700924.1500000004)",FortStantonCSD-4703,445797.97030000016,3700924.1500000004,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,9347.0,6945,UCretaceous
124,124,"(445009.5175000001, 3701446.0639999993)",FortStantonCSD-3758,445009.5175000001,3701446.0639999993,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,8985.0,6701,UCretaceous
125,125,"(449125.05420000013, 3702878.045)",FortStantonCSE-4548,449125.05420000013,3702878.045,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,9594.0,6747,UCretaceous
126,126,"(442460.09389999975, 3702171.6867999993)",FortStantonCSA-4728,442460.09389999975,3702171.6867999993,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,8081.0,6767,UCretaceous
127,127,"(442388.6238000002, 3700904.6083000004)",FortStantonCSA-6000,442388.6238000002,3700904.6083000004,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,8383.0,7081,UCretaceous
128,128,"(442180.8579000002, 3699487.7606000006)",FortStantonCSA-7432,442180.8579000002,3699487.7606000006,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,8537.0,7174,UCretaceous
129,129,"(447667.574, 3699972.2158000004)",UCretaceous_ContactPts_74,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9691.0,6743,UCretaceous
130,130,"(436183.0537999999, 3697653.1160000004)",AngusCSB-8312,436183.0537999999,3697653.1160000004,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,SierraBlanca,7165.0,7446,SierraBlanca
131,131,"(437245.0873999996, 3699289.9217000008)",SierraBlanca_ContactPts_74,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,7462.0,7462,SierraBlanca
132,132,"(437124.20469999965, 3696726.4626)",AngusCSB-9633,437124.20469999965,3696726.4626,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,UCretaceous,,7399,UCretaceous
133,133,"(437889.48500000034, 3695972.9707999993)",AngusCSB-10707,437889.48500000034,3695972.9707999993,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,UCretaceous,8442.0,7489,UCretaceous
134,134,"(442032.42650000006, 3696667.7652000003)",FortStantonCSA-10262,442032.42650000006,3696667.7652000003,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,9199.0,7305,UCretaceous
135,135,"(443770.40160000045, 3698543.0713)",FortStantonCSC-2210,443770.40160000045,3698543.0713,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,9868.0,6836,UCretaceous
