OID@,OBJECTID,Shape,UniqueID,Easting,Northing,Units,Datum,DataSourceID,DataQualityBottom,UnitsPresent,MUEBase,SE_NM_30m_int,SimpleUnit
136,136,"(444542.60259999987, 3698246.7261999995)",UCretaceous_ContactPts_73,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9862.0,6834,UCretaceous
137,137,"(444089.78110000025, 3698199.3730999995)",UCretaceous_ContactPts_75,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,10031.0,6979,UCretaceous
138,138,"(444066.6994000003, 3696715.947899999)",UCretaceous_ContactPts_78,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,10047.0,7034,UCretaceous
139,139,"(437062.1935999999, 3691669.1862000003)",RuidosoCSA-1928,437062.1935999999,3691669.1862000003,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,SierraBlanca,6377.0,7195,SierraBlanca
140,140,"(435784.5921, 3693046.319)",RuidosoCSA-50,435784.5921,3693046.319,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,SierraBlanca,6292.0,7385,SierraBlanca
141,141,"(437718.5329999998, 3694704.948999999)",SierraBlanca_ContactPts_77,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,7319,SierraBlanca
142,142,"(436948.5996000003, 3695448.6169000007)",SierraBlanca_ContactPts_78,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,7274.0,7274,SierraBlanca
143,143,"(438707.9940999998, 3691738.6601)",SierraBlanca_ContactPts_83,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,6908.0,6908,SierraBlanca
144,144,"(434765.7383000003, 3693049.727499999)",SierraBlanca_ContactPts_90,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,7324.0,7324,SierraBlanca
145,145,"(439166.8546000002, 3694715.277899999)",AngusCSB-12500,439166.8546000002,3694715.277899999,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,UCretaceous,9090.0,7192,UCretaceous
146,146,"(440464.51379999984, 3693437.6078999992)",AngusCSB-14321,440464.51379999984,3693437.6078999992,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,UCretaceous,,7131,UCretaceous
147,147,"(442029.23599999957, 3695042.7684000004)",FortStantonCSA-11887,442029.23599999957,3695042.7684000004,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,10059.0,7248,UCretaceous
148,148,"(442029.9232000001, 3695392.7676999997)",FortStantonCSA-11537,442029.9232000001,3695392.7676999997,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,UCretaceous,10090.0,7263,UCretaceous
149,149,"(437549.89269999973, 3691143.4930000007)",RuidosoCSA-2645,437549.89269999973,3691143.4930000007,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,SierraBlanca,6548.0,6960,SierraBlanca
150,150,"(438127.9930999996, 3690520.355799999)",RuidosoCSA-3495,438127.9930999996,3690520.355799999,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,SierraBlanca,6856.0,6867,SierraBlanca
151,151,"(430265.6321999999, 3688932.2102000006)",RuidosoCSB-136,430265.6321999999,3688932.2102000006,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,SierraBlanca,,7541,SierraBlanca
152,152,"(431255.46740000043, 3688208.3714000005)",RuidosoCSB-1363,431255.46740000043,3688208.3714000005,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,SierraBlanca,7916.0,7992,SierraBlanca
153,153,"(437647.58380000014, 3689948.435799999)",SierraBlanca_ContactPts_80,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,6790.0,6790,SierraBlanca
154,154,"(438362.19969999976, 3690623.9634000007)",SierraBlanca_ContactPts_81,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,6842.0,6842,SierraBlanca
155,155,"(430294.3492999999, 3690147.978)",SierraBlanca_ContactPts_88,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,7875.0,7875,SierraBlanca
156,156,"(433077.7182, 3690053.3533999994)",SierraBlanca_ContactPts_89,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,7611.0,7611,SierraBlanca
157,157,"(439250.1880000001, 3689310.7366000004)",RuidosoCSA-5145,439250.1880000001,3689310.7366000004,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,9837.0,7296,UCretaceous
158,158,"(438400.0404000003, 3690227.1148000006)",RuidosoCSA-3895,438400.0404000003,3690227.1148000006,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,,6827,UCretaceous
159,159,"(430265.6321999999, 3688932.2102000006)",RuidosoCSB-136,430265.6321999999,3688932.2102000006,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,,7541,UCretaceous
160,160,"(439422.43230000045, 3689976.6642000005)",UCretaceous_ContactPts_79,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9560.0,6897,UCretaceous
161,161,"(438710.8169999998, 3687884.8663999997)",UCretaceous_ContactPts_81,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9273.0,6715,UCretaceous
162,162,"(422885.48450000025, 3687468.1433000006)",SierraBlanca_ContactPts_92,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,8143.0,8143,SierraBlanca
163,163,"(426312.7416000003, 3687350.9397)",SierraBlanca_ContactPts_93,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,8808.0,8808,SierraBlanca
164,164,"(427614.6007000003, 3687572.9662999995)",SierraBlanca_ContactPts_94,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,8830.0,8830,SierraBlanca
165,165,"(427394.28639999963, 3685597.846999999)",SierraBlanca_ContactPts_95,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,8748.0,8748,SierraBlanca
166,166,"(437016.43759999983, 3683995.5351)",RuidosoCSB-8500,437016.43759999983,3683995.5351,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,9915.0,7492,UCretaceous
167,167,"(435528.79569999967, 3685083.4059999995)",RuidosoCSB-6657,435528.79569999967,3685083.4059999995,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,,7147,UCretaceous
168,168,"(431938.53830000013, 3687708.8608)",RuidosoCSB-2209,431938.53830000013,3687708.8608,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,,7824,UCretaceous
169,169,"(434860.2604, 3685572.2871000003)",RuidosoCSB-5828,434860.2604,3685572.2871000003,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,,7251,UCretaceous
170,170,"(436013.1144000003, 3684729.237299999)",RuidosoCSB-7257,436013.1144000003,3684729.237299999,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,,6887,UCretaceous
171,171,"(437655.70409999974, 3687649.9126999993)",UCretaceous_ContactPts_80,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,,6913,UCretaceous
172,172,"(436672.07380000036, 3683939.492900001)",RuidosoCSC-7660,436672.07380000036,3683939.492900001,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,9790.0,7513,UCretaceous
173,173,"(431852.21439999994, 3681020.8341000006)",RuidosoCSC-2000,431852.21439999994,3681020.8341000006,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,,7552,UCretaceous
174,174,"(432292.53440000024, 3681257.727)",RuidosoCSC-2500,432292.53440000024,3681257.727,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,UCretaceous,,7373,UCretaceous
175,175,"(426058.08779999986, 3682382.4043000005)",UCretaceous_ContactPts_82,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9991.0,7333,UCretaceous
176,176,"(427291.51659999974, 3681820.2183999997)",UCretaceous_ContactPts_86,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,10055.0,7436,UCretaceous
177,177,"(431193.9466000004, 3677331.4365)",UCretaceous_ContactPts_88,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,10153.0,7570,UCretaceous
178,178,"(418164.37090000045, 3707803.9911)",SierraBlanca_ContactPts_49,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,6374,SierraBlanca
179,179,"(415653.93319999985, 3708103.7127)",SierraBlanca_ContactPts_55,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,6456,SierraBlanca
180,180,"(418404.3361999998, 3708058.344900001)",SierraBlanca_ContactPts_56,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,6353,SierraBlanca
181,181,"(419797.31240000017, 3703989.017999999)",NogalPeakCSA-1150,419797.31240000017,3703989.017999999,meters,NAD83,Goff2011_OFGM134,Sampled from interpretive cross-section,SierraBlanca,,7852,SierraBlanca
182,182,"(418647.8622000003, 3704036.7775999997)",NogalPeakCSA-None,418647.8622000003,3704036.7775999997,meters,NAD83,Goff2011_OFGM134,Sampled from interpretive cross-section,SierraBlanca,,7007,SierraBlanca
183,183,"(418280.41700000037, 3706091.9836)",SierraBlanca_ContactPts_50,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,6640,SierraBlanca
184,184,"(419872.9484000001, 3695630.3332)",NogalPeakCSB-1308,419872.9484000001,3695630.3332,meters,NAD83,Goff2011_OFGM134,Sampled from interpretive cross-section,SierraBlanca,,7455,SierraBlanca
185,185,"(418617.35830000043, 3695464.8308000006)",NogalPeakCSB-42,418617.35830000043,3695464.8308000006,meters,NAD83,Goff2011_OFGM134,Sampled from interpretive cross-section,SierraBlanca,,7370,SierraBlanca
186,186,"(416740.8789999997, 3692730.329500001)",SierraBlanca_ContactPts_84,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,6334,SierraBlanca
187,187,"(418397.34389999975, 3692263.931399999)",SierraBlanca_ContactPts_85,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,6634,SierraBlanca
188,188,"(419759.6309000002, 3689708.5198)",SierraBlanca_ContactPts_87,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,7193,SierraBlanca
