OID@,OBJECTID,Shape,UniqueID,Easting,Northing,Units,Datum,DataSourceID,DataQualityBottom,UnitsPresent,MUEBase,SimpleUnit
212,212,"(478253.03390000015, 3704198.767000001)",NelsonCanyonWestCSA-1534,478253.03390000015,3704198.767000001,meters,NAD83,Timmons2010_OFGM197,Sampled from interpretive cross-section,SanAndres,,SanAndres
213,213,"(480253.4193000002, 3704198.8168)",NelsonCanyonWestCSA-3534,480253.4193000002,3704198.8168,meters,NAD83,Timmons2010_OFGM197,Sampled from interpretive cross-section,SanAndres,4577.0,SanAndres
214,214,"(441981.6409, 3691858.776900001)",RuidosoDownsCSA-313,441981.6409,3691858.776900001,meters,NAD83,Rawling2004_OFGM94,Sampled from interpretive cross-section,SanAndres,6788.0,SanAndres
215,215,"(443343.4956, 3689833.3757000007)",RuidosoDownsCSA-2753,443343.4956,3689833.3757000007,meters,NAD83,Rawling2004_OFGM94,Sampled from interpretive cross-section,SanAndres,6568.0,SanAndres
216,216,"(445103.9126000004, 3687215.2180000003)",RuidosoDownsCSA-5905,445103.9126000004,3687215.2180000003,meters,NAD83,Rawling2004_OFGM94,Sampled from interpretive cross-section,SanAndres,6841.0,SanAndres
217,217,"(448108.28359999973, 3682747.0053000003)",RuidosoDownsCSA-11293,448108.28359999973,3682747.0053000003,meters,NAD83,Rawling2004_OFGM94,Sampled from interpretive cross-section,SanAndres,7346.0,SanAndres
218,218,"(470344.4386, 3700774.640900001)",Yeso_IsoValuePts_108,,,,,OFR543,,Yeso,5500.0,SanAndres
219,219,"(447644.15249999985, 3701091.955)",Yeso_IsoValuePts_121,,,,,OFR543,,Yeso,,Yeso
220,220,"(462640.43680000026, 3690700.8629)",Yeso_IsoValuePts_137,,,,,OFR543,,Yeso,6000.0,SanAndres
221,221,"(445952.64549999963, 3698478.5733000003)",Yeso_IsoValuePts_140,,,,,OFR543,,Yeso,,Yeso
222,222,"(475322.3554999996, 3712818.501)",Yeso_IsoValuePts_149,,,,,OFR543,,Yeso,6000.0,SanAndres
223,223,"(471645.19049999956, 3715329.782299999)",Yeso_IsoValuePts_150,,,,,OFR543,,Yeso,6000.0,SanAndres
224,224,"(448314.7139999997, 3697536.1711999997)",Yeso_IsoValuePts_174,,,,,OFR543,,Yeso,6500.0,SanAndres
225,225,"(442468.10360000003, 3693432.1128000002)",Yeso_IsoValuePts_175,,,,,OFR543,,Yeso,,Yeso
226,226,"(447865.70189999975, 3688527.1411000006)",Yeso_IsoValuePts_218,,,,,OFR543,,Yeso,7000.0,SanAndres
227,227,"(452921.72919999994, 3689222.295600001)",Yeso_IsoValuePts_227,,,,,OFR543,,Yeso,7000.0,SanAndres
228,228,"(450846.02799999993, 3689857.873299999)",Yeso_IsoValuePts_232,,,,,OFR543,,Yeso,7000.0,SanAndres
229,229,"(446395.1043999996, 3691435.7808999997)",Yeso_IsoValuePts_236,,,,,OFR543,,Yeso,,Yeso
230,230,"(472595.0617000004, 3711800.6548999995)",CapitanPeakCSB-5056,472975.93850000016,3715592.7717000004,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,Yeso,5677.0,Yeso
231,231,"(472965.9649, 3715493.4713000003)",CapitanPeakCSB-8768,472604.9665999999,3711899.2707,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,Yeso,5668.0,Yeso
232,232,"(473024.0647999998, 3716071.9299999997)",CapitanPeakCSB-9350,472546.8512000004,3711320.6576000005,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,Yeso,5669.0,Yeso
233,233,"(472754.8523000004, 3713391.5753000006)",CapitanPeakCSB-6656,472816.0619999999,3714000.9957,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,Yeso,5677.0,Yeso
234,234,"(473420.0558000002, 3720014.5275999997)",CapitanPeakCSB-13312,472150.9101999998,3707378.5588000007,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,Yeso,5654.0,Yeso
235,235,"(473098.63879999984, 3716814.4093999993)",CapitanPeakCSB-10096,472472.2988,3710578.3932000007,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,Yeso,5640.0,Yeso
236,236,"(471964.9154000003, 3696009.1812999994)",SanPatricioCSA-8347,471964.9154000003,3696009.1812999994,meters,NAD83,Skotnicki2009_OFGM189,Sampled from interpretive cross-section,Yeso,5383.0,Yeso
237,237,"(441493.4517999999, 3686892.7117999997)",RuidosoCSA-8443,441493.4517999999,3686892.7117999997,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,Yeso,6797.0,Yeso
238,238,"(478253.03390000015, 3704198.767000001)",NelsonCanyonWestCSA-1534,478253.03390000015,3704198.767000001,meters,NAD83,Timmons2010_OFGM197,Sampled from interpretive cross-section,Yeso,5075.0,Yeso
239,239,"(444039.06879999954, 3688798.8934000004)",RuidosoDownsCSA-4000,444039.06879999954,3688798.8934000004,meters,NAD83,Rawling2004_OFGM94,Sampled from interpretive cross-section,Yeso,6721.0,Yeso
240,240,"(442308.87519999966, 3703233.7464000005)",FortStantonCSD-519,442308.87519999966,3703233.7464000005,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,Artesia,3726.0,Artesia
241,241,"(442388.6238000002, 3700904.6083000004)",FortStantonCSA-6000,442388.6238000002,3700904.6083000004,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,Artesia,3707.0,Artesia
242,242,"(458509.3761999998, 3714700.0527)",Artesia_ContactPts_99,,,,,NMBGMR_500k,500k_surface_map,Artesia,5759.0,Artesia
243,243,"(455520.98840000015, 3712876.045499999)",Artesia_ContactPts_100,,,,,NMBGMR_500k,500k_surface_map,Artesia,5397.0,Artesia
244,244,"(454599.0404000003, 3707717.1762000006)",Artesia_ContactPts_101,,,,,NMBGMR_500k,500k_surface_map,Artesia,5203.0,Artesia
245,245,"(451925.46439999994, 3704338.3411999997)",Artesia_ContactPts_102,,,,,NMBGMR_500k,500k_surface_map,Artesia,5367.0,Artesia
