OID@,OBJECTID,SHAPE,UniqueID,DataSourceID,DataQualityBottom,UnitsPresent,SimpleUnit,MUEBase
56,56,"(660399.0543, 3731761.3806)",30-041-20752,SalineSE,No known issues,"San Andres,Glorieta",Artesia,1827
57,57,"(579700.3561000004, 3692100.0623000003)",30-005-63141,OFR497,No known issues,"San Andres,Glorieta",Artesia,3499
58,58,"(567608.5049999999, 3690871.589299999)",30-005-63642,OFR497,No known issues,"San Andres,Glorieta",Artesia,3844
59,59,"(675648.6836000001, 3686013.6334000006)",30-025-27493,OFR497,No known issues,San Andres,Artesia,846
60,60,"(590503.9907999998, 3700250.0764000006)",30-005-63612,OCD_online_2018,No known issues,San Andres,Artesia,3015
61,61,"(639809.9123999998, 3715412.1867999993)",30-025-40542,OCD_online_2018,No known issues,San Andres,Artesia,1656
62,62,"(639457.1942999996, 3716110.2249999996)",30-041-20955,OCD_online_2018,No known issues,San Andres,Artesia,1678
63,63,"(639817.5933999997, 3715713.9703)",30-041-20956,OCD_online_2018,No known issues,San Andres,Artesia,1649
64,64,"(578828.3706999999, 3718512.3004)",30-005-62943,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,3596
65,65,"(578229.3375000004, 3722438.2135000005)",30-005-63628,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,3653
66,66,"(599214.8525999999, 3707131.1248000003)",30-005-64118,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,2733
67,67,"(599318.0447000004, 3706814.9355999995)",30-005-64127,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,2724
68,68,"(598826.1799999997, 3705427.075200001)",30-005-64142,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,2737
69,69,"(591599.1228, 3701668.9485)",30-005-63660,OCD_online_2018,No known issues,San Andres,Artesia,3038
70,70,"(637701.7562999995, 3706285.2781000007)",30-025-37466,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1680
71,71,"(636382.5285999998, 3705283.825099999)",30-025-37524,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1674
72,72,"(626365.2006000001, 3698535.108100001)",30-025-38171,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1975
73,73,"(662924.9819, 3700328.4967)",30-025-38792,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1140
74,74,"(662941.7922, 3699289.1625999995)",30-025-38463,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1097
75,75,"(592833.7019999996, 3717560.0704999994)",30-005-64128,OCD_online_2018,No known issues,San Andres,Artesia,3007
76,76,"(641244.6993000004, 3704975.4605)",30-025-38292,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1529
77,77,"(632905.0588999996, 3696049.7397000007)",30-025-37571,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1747
78,78,"(656772.0087000001, 3712095.9540999997)",30-025-38276,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1406
79,79,"(628755.1568, 3710579.6702999994)",30-025-39945,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,2065
80,80,"(635284.2895999998, 3699537.0075000003)",30-025-39508,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1664
81,81,"(579055.6178000001, 3717306.1193000004)",30-005-63767,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,3593
82,82,"(646412.8328, 3706202.759299999)",30-025-20473,OCD_online_2018,No known issues,San Andres,Artesia,1474
83,83,"(631214.5609999998, 3701065.2646999992)",30-025-37438,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1841
84,84,"(640433.4896, 3706046.6976999994)",30-025-37303,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1589
85,85,"(646003.6183000002, 3701458.926999999)",30-025-37545,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1430
86,86,"(653833.8383999998, 3701788.5974000003)",30-025-37626,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1251
87,87,"(627870.8053000001, 3705393.9365999997)",30-025-38077,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,2125
88,88,"(644803.1135, 3701236.509400001)",30-025-38253,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1473
89,89,"(636885.2286, 3704768.7903000005)",30-025-37628,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1663
90,90,"(645797.6558999997, 3701757.0474999994)",30-025-37979,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1444
91,91,"(651149.4615000002, 3695659.5555000007)",30-025-37259,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1236
92,92,"(641935.9884000001, 3703825.0956999995)",30-025-38573,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1535
93,93,"(640222.9029000001, 3700039.3373000007)",30-025-38169,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1538
94,94,"(642156.6809999999, 3696773.509400001)",30-025-38863,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1473
95,95,"(646417.9338999996, 3700661.3215999994)",30-025-38185,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1417
96,96,"(646210.4101, 3701060.1169000007)",30-025-37911,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1421
97,97,"(644779.5323000001, 3703046.5384)",30-025-38393,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1486
98,98,"(626794.8926999997, 3696282.5205000006)",30-025-37982,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1940
99,99,"(644907.6451000003, 3700936.4147999994)",30-025-38017,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1457
100,100,"(649602.7200999996, 3708163.8111000005)",30-025-37103,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1462
101,101,"(645070.3262999998, 3697610.878799999)",30-025-36985,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1413
102,102,"(621429.1220000004, 3714950.6790999994)",30-025-37075,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,2255
103,103,"(648866.2078999998, 3708252.6734999996)",30-025-37104,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1474
104,104,"(645750.0125000002, 3698141.0590000004)",30-025-36886,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1400
105,105,"(649188.1113999998, 3703067.0962000005)",30-025-36915,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1382
106,106,"(641595.3497000001, 3706185.1827000007)",30-025-37206,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1565
107,107,"(645338.568, 3698934.499)",30-025-37543,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1402
108,108,"(624701.5772000002, 3704564.3154000007)",30-025-39212,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,2235
109,109,"(646501.8738000002, 3701768.977)",30-025-38396,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1426
110,110,"(644544.8964999998, 3703274.4464999996)",30-025-38288,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1497
111,111,"(645583.3103, 3702658.383199999)",30-025-38392,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1465
112,112,"(578141.4408, 3719416.1045999993)",30-005-63747,OCD_online_2018,No known issues,San Andres,Artesia,3641
113,113,"(578338.4581000004, 3720426.9466999993)",30-005-63749,OCD_online_2018,No known issues,San Andres,Artesia,3650
114,114,"(578342.4486999996, 3719417.3213)",30-005-63805,OCD_online_2018,No known issues,San Andres,Artesia,3643
115,115,"(578371.7048000004, 3720603.123400001)",30-005-63640,OCD_online_2018,No known issues,San Andres,Artesia,3658
116,116,"(614621.625, 3699311.4091999996)",30-005-29066,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,2312
117,117,"(559756.0098000001, 3700258.121099999)",30-005-00035,Meyer1966,No known issues,"San Andres,Glorieta",Artesia,4211
118,118,"(570774.2599999998, 3686981.5331999995)",30-005-00328,OFR497,No known issues,"San Andres,Glorieta",Artesia,3738
119,119,"(555022.3361999998, 3695158.3819999993)",GR_RAB_NorthEW-120450,,Sampled from cross-section,San Andres,Artesia,4120
120,120,"(532610.4167999998, 3695078.4145)",GR_RAB_NorthEW-98038,,Sampled from cross-section,San Andres,Artesia,4708
121,121,"(553572.3876, 3695153.2084)",GR_RAB_NorthEW-119000,,Sampled from cross-section,San Andres,Artesia,4193
122,122,"(540407.1068000002, 3695106.2336999997)",GR_RAB_NorthEW-105835,,Sampled from cross-section,San Andres,Artesia,4567
123,123,"(539364.0867999997, 3695102.5121)",GR_RAB_NorthEW-104792,,Sampled from cross-section,San Andres,Artesia,4582
124,124,"(528761.6041000001, 3695064.6816000007)",GR_RAB_NorthEW-94189,,Sampled from cross-section,San Andres,Artesia,4757
125,125,"(538280.4193000002, 3695098.6455000006)",GR_RAB_NorthEW-103708,,Sampled from cross-section,San Andres,Artesia,4602
126,126,"(585654.4742999999, 3686272.2369)",30-005-00365,WellCompletionRecord,No known issues,San Andres,Artesia,3235
127,127,"(605373.9168999996, 3693630.5898)",30-005-00531,WellCompletionRecord,No known issues,"San Andres, Glorieta",Artesia,2486
128,128,"(598358.3907000003, 3715892.5505)",30-005-60787,OCD_online_2018,No known issues,Salado,UOchoan,2918
129,129,"(537939.8837000001, 3678215.3573000003)",30-005-61014,SalineSE,No known issues,"San Andres,Glorieta",Artesia,4461
130,130,"(583231.3268999998, 3679835.906300001)",30-005-00369,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3317
131,131,"(584138.3853000002, 3677827.9947999995)",30-005-00377,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3283
132,132,"(668583.5631999997, 3679814.8289)",30-025-05057,SalineSE,No known issues,"San Andres,Glorieta",Artesia,986
133,133,"(666153.3777000001, 3680596.1296999995)",30-025-05062,SalineSE,No known issues,"San Andres,Glorieta",Artesia,942
134,134,"(661268.9315, 3679307.3441000003)",30-025-25660,SalineSE,No known issues,"San Andres,Glorieta",Artesia,962
135,135,"(552722.1535999998, 3681189.0424000006)",30-005-00096,SalineSE,No known issues,"San Andres,Glorieta",Artesia,4130
136,136,"(679705.2176999999, 3681546.4071999993)",30-025-30106,OFR497,No known issues,"San Andres,Glorieta",Artesia,842
137,137,"(677769.9302000003, 3679941.3320000004)",30-025-34100,OFR497,No known issues,"San Andres,Glorieta",Artesia,841
138,138,"(640495.2363999998, 3679739.6143999994)",30-025-34940,OFR497,No known issues,"San Andres,Glorieta",Artesia,1479
139,139,"(630918.5471000001, 3674413.9590000007)",30-025-01070,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen",LOchoan,1791
140,140,"(655087.5564000001, 3676274.5188999996)",30-025-03665,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,1172
141,141,"(606744.6035000002, 3675549.4525000006)",30-005-00729,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen",LOchoan,2371
142,142,"(573828.9698999999, 3675495.0387999993)",Artesia_ContactPts_172,NMBGMR_500k,,Artesia,LOchoan,3575
143,143,"(577334.4709999999, 3674545.0911999997)",30-005-62980,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3514
144,144,"(549152.4537000004, 3674685.7530000005)",30-005-00098,SalineSE,No known issues,"San Andres,Glorieta",Artesia,4181
145,145,"(618065.6209000004, 3671825.7345000003)",30-025-20405-0001,SalineSE,No known issues,"San Andres,Glorieta",Artesia,2184
146,146,"(619933.0082999999, 3674967.8246999998)",30-025-20737,SalineSE,No known issues,"San Andres,Glorieta",Artesia,2128
147,147,"(592350.7892000005, 3633580.1458)",30-015-04187,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,2720
148,148,"(606754.5743000004, 3632136.5153)",30-015-05347,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,2332
149,149,"(646103.5083999997, 3632624.2763)",30-025-02856,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,1061
150,150,"(600300.0404000003, 3642106.4252000004)",30-015-03917,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,2464
151,151,"(606209.6150000002, 3645520.3037)",30-015-04839,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,2219
152,152,"(643286.5571999997, 3648777.410700001)",30-025-01883,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,1146
153,153,"(638094.8595000003, 3630130.7284999993)",30-025-02128,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen",LOchoan,1294
154,154,"(661388.3299000002, 3651500.6494999994)",30-025-03701,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,816
155,155,"(656851.6935, 3641638.7255000006)",30-025-03743,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,799
156,156,"(660448.4571000002, 3638180.7260999996)",30-025-05412,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,871
157,157,"(675855.2166999998, 3639122.0963000003)",30-025-07293,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,604
158,158,"(588327.1880000001, 3667714.3882)",30-005-00430,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,3094
159,159,"(591942.1821999997, 3660030.780200001)",30-005-00441,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen",LOchoan,2904
160,160,"(588847.1836000001, 3632230.8652999997)",30-015-03063,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen",LOchoan,2826
161,161,"(590345.6245999997, 3631141.2906)",30-015-03068,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen",LOchoan,2744
162,162,"(617907.5219999999, 3642290.5194000006)",30-025-00402,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,1818
163,163,"(630327.2695000004, 3656655.532400001)",30-025-01218,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen",LOchoan,1642
164,164,"(644175.4200999998, 3626978.082800001)",30-025-03043,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,914
165,165,"(658954.5506999996, 3637317.0461)",30-025-03829,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,930
166,166,"(669954.8108999999, 3670987.3051999994)",30-025-05083,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,776
