OID@,OBJECTID,SHAPE,UniqueID,DataSourceID,DataQualityBottom,UnitsPresent,SimpleUnit,MUEBase
213,213,"(532503.9883000003, 3633683.7642)",30-015-21238,SalineSE,No known issues,"San Andres,Glorieta",Artesia,4965
214,214,"(581946.2322000004, 3663697.2245000005)",30-005-00386,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3304
215,215,"(610233.9167999998, 3649834.6593999993)",30-005-20985,SalineSE,No known issues,San Andres,Artesia,1992
216,216,"(569842.1032999996, 3624536.1610000003)",30-015-24857,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3415
217,217,"(679785.1312999995, 3638368.475400001)",30-025-23203,SalineSE,No known issues,"San Andres,Glorieta",Artesia,458
218,218,"(641551.6940000001, 3654009.954)",30-025-32421,SalineSE,No known issues,"San Andres,Glorieta",Artesia,1285
219,219,"(560032.7427000003, 3623292.2623999994)",30-015-00289,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3972
220,220,"(570069.4052999998, 3631725.0649999995)",30-015-00472,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3477
221,221,"(579734.5630999999, 3619007.6719000004)",30-015-22698,OFR497,No known issues,San Andres,Artesia,2710
222,222,"(580304.494, 3636198.8632999994)",30-015-31720,OFR497,No known issues,"San Andres,Glorieta",Artesia,3089
223,223,"(569846.9321999997, 3626109.344799999)",30-015-32070,OFR497,No known issues,"San Andres,Glorieta",Artesia,3431
224,224,"(560753.7161999997, 3642703.1371)",30-015-33583,OFR497,No known issues,"San Andres,Glorieta",Artesia,3860
225,225,"(624531.9548000004, 3621394.7204)",30-025-21246,OFR497,No known issues,San Andres,Artesia,816
226,226,"(618085.8084000004, 3670234.741800001)",30-025-24450,OFR497,No known issues,"San Andres,Glorieta",Artesia,2149
227,227,"(632350.5939999996, 3637688.0406)",30-025-34806,OFR497,No known issues,"San Andres,Glorieta",Artesia,1363
228,228,"(613462.7693999996, 3643441.354699999)",30-025-34905,OFR497,No known issues,"San Andres,Glorieta",Artesia,1926
229,229,"(672071.7869999995, 3659736.0997)",OFR497-153,OFR497,No known issues,"San Andres,Glorieta",Artesia,855
230,230,"(532633.1980999997, 3621173.9455999993)",30-015-00035,SalineSE,No known issues,"San Andres,Glorieta",Artesia,5010
231,231,"(564545.5576999998, 3665532.5012999997)",30-005-00114,SalineSE,No known issues,"San Andres,Glorieta",Artesia,4015
232,232,"(599156.9512999998, 3638481.8399)",30-015-03931,NMBGMR_SubsurfaceLibrary,No known issues,"San Andres,Glorieta",Artesia,2517
233,233,"(547823.3276000004, 3627715.5742000006)",GR_RAB_SouthEW-138029,,Sampled from cross-section,San Andres,Artesia,4270
234,234,"(522622.1791000003, 3630340.4617999997)",GR_RAB_SouthEW-112692,,Sampled from cross-section,San Andres,Artesia,5329
235,235,"(562547.7176999999, 3626181.9191999994)",GR_RAB_SouthEW-152834,,Sampled from cross-section,San Andres,Artesia,3739
236,236,"(526082.3712999998, 3629980.057)",GR_RAB_SouthEW-116171,,Sampled from cross-section,San Andres,Artesia,5156
237,237,"(544810.1290999996, 3628029.4212999996)",GR_RAB_SouthEW-135000,,Sampled from cross-section,San Andres,Artesia,4429
238,238,"(545804.7483999999, 3627925.8243000004)",GR_RAB_SouthEW-136000,,Sampled from cross-section,San Andres,Artesia,4369
239,239,"(610337.9825999998, 3638211.0622000005)",30-015-30947,WellCompletionRecord,No known issues,"San Andres,Glorieta",Artesia,2074
240,240,"(596383.4170000004, 3620384.9626)",30-015-24651,SalineSE,No known issues,Salado,UOchoan,2097
241,241,"(608553.8984000003, 3618049.196799999)",30-015-22925,OFR497,No known issues,Salado,UOchoan,1500
242,242,"(575312.3490000004, 3634541.9354)",LOchoan_ContactPts_140,NMBGMR_500k,,Salado,UOchoan,3311
243,243,"(574897.4123999998, 3638333.2079000007)",LOchoan_ContactPts_142,NMBGMR_500k,,Salado,UOchoan,3368
244,244,"(576407.3896000003, 3644079.8452000003)",LOchoan_ContactPts_144,NMBGMR_500k,,Salado,UOchoan,3403
245,245,"(573742.9709000001, 3650146.2947000004)",LOchoan_ContactPts_150,NMBGMR_500k,,Salado,UOchoan,3333
246,246,"(660164.2588, 3613392.4582)",30-025-05640,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,1148
247,247,"(545215.7292999998, 3614842.5331999995)",30-015-26562,SalineSE,No known issues,"San Andres,Glorieta",Artesia,4564
248,248,"(530660.0340999998, 3614721.260500001)",30-015-00028,SalineSE,No known issues,"San Andres,Glorieta",Artesia,5037
249,249,"(553655.6260000002, 3616801.3652999997)",30-015-26270,OFR497,No known issues,"San Andres,Glorieta",Artesia,4010
250,250,"(649655.3129000003, 3611719.8803000003)",30-025-03204,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,372
251,251,"(664983.6097999997, 3609601.6226000004)",30-025-33471,SalineSE,No known issues,"San Andres,Glorieta",Artesia,1138
252,252,"(566168.9500000002, 3610322.7810999993)",30-015-33345,OFR497,No known issues,San Andres,Artesia,3416
253,253,"(588144.5073999995, 3611013.148499999)",30-015-23108,OFR497,No known issues,San Andres,Artesia,2275
254,254,"(679226.6859999998, 3602526.4679000005)",30-025-07991,SalineSE,No known issues,"San Andres,Glorieta",Artesia,821
255,255,"(527628.1874000002, 3592889.4553999994)",30-015-00006,SalineSE,No known issues,"San Andres,Glorieta",Artesia,5606
256,256,"(668467.9886999996, 3600336.0178999994)",30-025-32128,SalineSE,No known issues,"San Andres,Glorieta",Artesia,1003
257,257,"(662215.5617000004, 3599444.432600001)",30-025-30790,SalineSE,No known issues,"San Andres,Glorieta",Artesia,1237
258,258,"(677249.9517000001, 3601266.9220000003)",30-025-07885,SalineSE,No known issues,"San Andres,Glorieta",Artesia,830
259,259,"(538698.0801999997, 3607125.8522999994)",30-015-26449,SalineSE,No known issues,"San Andres,Glorieta",Artesia,4895
260,260,"(560850.5357999997, 3605563.966)",30-015-10711,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3502
261,261,"(525207.0258, 3600173.227)",30-015-34513,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,5541
262,262,"(531131.4889000002, 3594933.1898999996)",30-015-33321,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,5331
263,263,"(520461.784, 3591253.5994000006)",SanAndres_ContactPts_350,NMBGMR_500k,,San Andres,Artesia,6008
264,264,"(525913.6200000001, 3595554.0781999994)",SanAndres_ContactPts_353,NMBGMR_500k,,San Andres,Artesia,5677
265,265,"(524014.30200000014, 3596959.989)",SanAndres_ContactPts_356,NMBGMR_500k,,San Andres,Artesia,5736
266,266,"(520228.1283, 3595280.5250000004)",SanAndres_ContactPts_357,NMBGMR_500k,,San Andres,Artesia,5977
267,267,"(668289.9501999998, 3738764.5040000007)",30-041-20388,SalineSE,No known issues,"San Andres,Glorieta",Artesia,1563
268,268,"(635821.8421999998, 3740920.6907)",30-041-20342,SalineSE,No known issues,"San Andres,Glorieta",Artesia,2481
269,269,"(681671.3735999996, 3592957.7590999994)",30-025-22403,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,682
270,270,"(679920.9062999999, 3596954.6106000002)",30-025-07049,SalineSE,No known issues,"San Andres,Glorieta",Artesia,789
271,271,"(525195.8876999998, 3588993.8926999997)",SanAndres_ContactPts_266,NMBGMR_500k,,San Andres,Artesia,5946
272,272,"(518509.4648000002, 3588701.8329000007)",SanAndres_ContactPts_349,NMBGMR_500k,,San Andres,Artesia,6229
